sim_id,income_shock,debt_shock,late_event_prob,auc_roc,f1,recall,precision,default_rate_pred,mean_pd
98,0.9660376599908334,1.1647971464761728,0.022819107918676945,0.8600651261009928,0.418476766565851,0.5708927231807952,0.3302951388888889,0.1152,0.08041298639807047
99,0.9949947498523829,1.0598725132059865,0.024191696814571548,0.8605769793013421,0.4174728818528291,0.5341335333833458,0.3426371511068335,0.1039,0.07435119029560887
100,0.9149355177057097,1.070004386353659,0.013744326169190902,0.8605346815356005,0.4162207828780625,0.5543885971492873,0.33318304779080254,0.1109,0.07871709879890577
101,0.9607449649572535,1.3079819973950184,0.044234014118260195,0.859297999353859,0.4106029106029106,0.5926481620405101,0.31411530815109345,0.12575,0.08664408372200416
102,0.7475042256493081,1.11845250125447,0.05882283804385105,0.8593945105979716,0.4096511932861264,0.5858964741185296,0.3149193548387097,0.124,0.08638739339556195
103,0.8740579783415252,1.0529986904759705,0.06493852323012558,0.8599439193917514,0.4156059767570559,0.5633908477119279,0.3292415607189829,0.11405,0.08127621892919888
104,0.9020259753807709,1.1518956929245798,0.03599209404082469,0.8594555560195025,0.41127959563713756,0.5798949737434359,0.31863149216817804,0.1213,0.08398106718599208
105,0.914281827423282,1.2413765315095482,0.05769000559324314,0.8603400515313379,0.40947720834406387,0.5963990997749438,0.31176470588235294,0.1275,0.08752201913819602
106,0.7481222706889059,1.2100711966031779,0.021441118682995586,0.8602137007707759,0.40842212075088785,0.6039009752438109,0.3085473361441165,0.13045,0.08932741173514128
107,0.8141965997397314,1.1671230131859687,0.023357784345291954,0.8605353245420159,0.40935064935064935,0.5911477869467366,0.3130711164084227,0.12585,0.0868417757748593
108,0.8439442756972495,1.2666449781827793,0.03655736985903631,0.859344918728209,0.4060377358490566,0.6054013503375844,0.30545041635124903,0.1321,0.09099888114465839
109,0.913235003551159,1.0141249110880413,0.040221028090866334,0.8610451884412685,0.42473745624270715,0.5461365341335334,0.3474940334128878,0.10475,0.0754391373819247
110,0.7615798740210854,1.2309531000526412,0.07256311062723994,0.8598061351733712,0.4003949642063688,0.6084021005251313,0.2983811626195732,0.1359,0.09208815468576852
111,0.943463541513061,1.2744979258286775,0.027399228931447882,0.8603213239694988,0.4127315418732064,0.5933983495873969,0.3164,0.125,0.08608657387602246
112,0.9408996476588116,1.1144975422673669,0.03984942746870729,0.8606634033823183,0.4149377593360996,0.5626406601650412,0.32865907099035935,0.1141,0.08036200199378854
113,0.9516885158771158,1.1639953441232864,0.07323997778119717,0.8600971558580436,0.41433189655172414,0.5768942235558889,0.32324506094997896,0.11895,0.08301608824262346
114,0.9711279736377553,1.324458640384477,0.017961723580782095,0.859688826690521,0.4128998149616706,0.5858964741185296,0.3187755102040816,0.1225,0.08452733827132049
115,0.7199948278670885,1.1264790851341528,0.032419768656943036,0.8595589594886266,0.4105510577174197,0.5896474118529632,0.31490384615384615,0.1248,0.08632664995866286
